384,CATEGORY_ID,"Высечка под ригель Warrior 33200, D 20 (13/16"") (шт.)",13005,VENDOR,PRODUCT_TYPE,vysechka-pod-rigel-warrior-33200-d-20-13-16-sht-13005,980.0,1,1
385,CATEGORY_ID,Заклепочник KW-Trio 09718, ручной, D 4,8 (шт.),13000,VENDOR,PRODUCT_TYPE,zaklepochnik-kw-trio-09718-ruchnoi-d-48-sht-13000,425.6,1,1
386,CATEGORY_ID,Заклепочник KW-Trio 09719, ручной, усиленный, D 4,8 (шт.),12999,VENDOR,PRODUCT_TYPE,zaklepochnik-kw-trio-09719-ruchnoi-usilennyi-d-48-sht-12999,560.0,1,1
387,CATEGORY_ID,Заклепочник SD/5, настольный, полуавтоматический, D5 (шт.),13007,VENDOR,PRODUCT_TYPE,zaklepochnik-sd-5-nastolnyi-poluavtomaticheskii-d5-sht-13007,13440.0,1,1
388,CATEGORY_ID,Заклепочник Warrior (шт.),13004,VENDOR,PRODUCT_TYPE,zaklepochnik-warrior-sht-13004,616.0,1,1
389,CATEGORY_ID,Курсор №1: 17*24, 290-330 в сборке (100 шт.) (уп.),11901,VENDOR,PRODUCT_TYPE,kursor-no-1-17-24-290-330-v-sborke-100-sht-up-11901,183.96,1,1
390,CATEGORY_ID,Курсор №2: 20*31, 290-330 в сборке (100 шт.) (уп.),11902,VENDOR,PRODUCT_TYPE,kursor-no-2-20-31-290-330-v-sborke-100-sht-up-11902,183.96,1,1
391,CATEGORY_ID,Курсор №2: 20*31, 290-330 в сборке, цветные (100 шт.) (уп.),11904,VENDOR,PRODUCT_TYPE,kursor-no-2-20-31-290-330-v-sborke-tsvetnye-100-sht-up-11904,226.8,1,1
392,CATEGORY_ID,Курсор №2: 20*31, 340-380 в сборке (100 шт.) (уп.),11907,VENDOR,PRODUCT_TYPE,kursor-no-2-20-31-340-380-v-sborke-100-sht-up-11907,214.2,1,1
393,CATEGORY_ID,Курсор №2: 20*31, 390-430 в сборке (100 шт.) (уп.),11908,VENDOR,PRODUCT_TYPE,kursor-no-2-20-31-390-430-v-sborke-100-sht-up-11908,226.8,1,1
394,CATEGORY_ID,Курсор №3: 23*34, 290-330 в сборке (100 шт.) (уп.),11903,VENDOR,PRODUCT_TYPE,kursor-no-3-23-34-290-330-v-sborke-100-sht-up-11903,201.6,1,1
395,CATEGORY_ID,Курсор №3: 23*34, 340-380 в сборке (100 шт.) (уп.),11909,VENDOR,PRODUCT_TYPE,kursor-no-3-23-34-340-380-v-sborke-100-sht-up-11909,226.8,1,1
396,CATEGORY_ID,Курсор №3: 23*34, 390-430 в сборке (100 шт.) (уп.),11910,VENDOR,PRODUCT_TYPE,kursor-no-3-23-34-390-430-v-sborke-100-sht-up-11910,231.84,1,1
