id,category,name,slug,provider,vendor_code,vendor,type_product,price,stock,available
14938,CATEGORY,"Термістор",termistor-aw100052,megatrade,AW100052,Ricoh,TYPE_PRODUCT,335,1,1
14939,CATEGORY,"Термістор",termistor-aw100086,megatrade,AW100086,Ricoh,TYPE_PRODUCT,523,1,1
14940,CATEGORY,"Фрікціон",friktsion-d2452566,megatrade,D2452566,Ricoh,TYPE_PRODUCT,222,1,1
14941,CATEGORY,"Фрікціон",friktsion-b4212608,megatrade,B4212608,Ricoh,TYPE_PRODUCT,248,1,1
14942,CATEGORY,"Фрікціон",friktsion-d1172872,megatrade,D1172872,Ricoh,TYPE_PRODUCT,248,1,1
14943,CATEGORY,"Шестерня шнека фронтальна",shesternia-shneka-frontalna-d2023143,megatrade,D2023143,Ricoh,TYPE_PRODUCT,129,1,1
14944,CATEGORY,"Блок зображення жовтий",blok-zobrazhennia-zhovtii-d2960124,megatrade,D2960124,Ricoh,TYPE_PRODUCT,12766,1,1
14945,CATEGORY,"Важіль",vazhil-g0652776,megatrade,G0652776,Ricoh,TYPE_PRODUCT,76,1,1
14946,CATEGORY,"Вал подачі оригіналів",val-podachi-originaliv-af020611,megatrade,AF020611,Ricoh,TYPE_PRODUCT,8746,1,1
14947,CATEGORY,"Втулка",vtulka-c2292525,megatrade,C2292525,Ricoh,TYPE_PRODUCT,45,1,1
14948,CATEGORY,"Втулка",vtulka-d0192823,megatrade,D0192823,Ricoh,TYPE_PRODUCT,164,1,1
14949,CATEGORY,"Втулка 12x18x5,5 мм",vtulka-12x18x55-mm-aa080281,megatrade,AA080281,Ricoh,TYPE_PRODUCT,178,1,1
14950,CATEGORY,"Вузол обрізаючий",vuzol-obrizaiuchii-c2722071,megatrade,C2722071,Ricoh,TYPE_PRODUCT,8312,1,1
14951,CATEGORY,"Вузол подачі тонера",vuzol-podachi-tonera-d1273020,megatrade,D1273020,Ricoh,TYPE_PRODUCT,2458,1,1
14952,CATEGORY,"Двигун кроковий постійного струму 24V 44W",dvigun-krokovii-postiinogo-strumu-24v-44w-d1271151,megatrade,D1271151,Ricoh,TYPE_PRODUCT,4262,1,1
14953,CATEGORY,"Двигун полігонального дзеркала",dvigun-poligonalnogo-dzerkala-ax060381,megatrade,AX060381,Ricoh,TYPE_PRODUCT,14594,1,1
14954,CATEGORY,"Касета для паперу",kaseta-dlia-paperu-d1752812,megatrade,D1752812,Ricoh,TYPE_PRODUCT,12686,1,1
14955,CATEGORY,"Підшипник кульковий 12х21х5 мм",pidshipnik-kulkovii-12kh21kh5-mm-b0653080,megatrade,B0653080,Ricoh,TYPE_PRODUCT,450,1,1
14956,CATEGORY,"Затискач",zatiskach-54472681,megatrade,54472681,Ricoh,TYPE_PRODUCT,34,1,1
14957,CATEGORY,"Зубчастий привідний пас B60S3M471 діаметром 150 мм",zubchastii-prividnii-pas-b60s3m471-diametrom-150-mm-aa043654,megatrade,AA043654,Ricoh,TYPE_PRODUCT,313,1,1
14958,CATEGORY,"Індикатор проходження паперу",indikator-prokhodzhennia-paperu-aw010049,megatrade,AW010049,Ricoh,TYPE_PRODUCT,545,1,1
14959,CATEGORY,"Корпус вузла переносу",korpus-vuzla-perenosu-b0043900,megatrade,B0043900,Ricoh,TYPE_PRODUCT,1944,1,1
14960,CATEGORY,"Лоток для паперу",lotok-dlia-paperu-b0392700,megatrade,B0392700,Ricoh,TYPE_PRODUCT,5621,1,1
14961,CATEGORY,"Наклейка",nakleika-aa003206,megatrade,AA003206,Ricoh,TYPE_PRODUCT,78,1,1
14962,CATEGORY,"Кришка вузла переносу",krishka-vuzla-perenosu-d0256282,megatrade,D0256282,Ricoh,TYPE_PRODUCT,1593,1,1
14963,CATEGORY,"Обмежувач пальця відокремлювання",obmezhuvach-paltsia-vidokremliuvannia-b0394168,megatrade,B0394168,Ricoh,TYPE_PRODUCT,494,1,1
14964,CATEGORY,"Програмне забезпечення для розширення функції БФП (принтер)",programne-zabezpechennia-dlia-rozshirennia-funktsiyi-bfp-printer-d3205017,megatrade,D3205017,Ricoh,TYPE_PRODUCT,3969,1,1
14965,CATEGORY,"Пружина",pruzhina-b0444155,megatrade,B0444155,Ricoh,TYPE_PRODUCT,96,1,1
