id,category,name,saler,vendor_code,vendor,type_product,slug,image,keywords,description,currency,price_purchase,interest,stock,available,created,updated
366,6,Кермо ACME RS racing wheel,baden,4770070870860,ACME,,kermo-acme-rs-racing-wheel,,,,uah,11.50,0.15,1,1,2019-01-06 15:13:32,2019-01-06 15:13:32
367,6,Кермо ACME STi racing wheel,baden,4770070870709,ACME,,kermo-acme-sti-racing-wheel,,,,uah,8.12,0.15,1,1,2019-01-06 15:13:32,2019-01-06 15:13:32
368,6,"Килимок ACME Cloth Mouse Pad, black",baden,4770070869222,ACME,,kilimok-acme-cloth-mouse-pad-black,,,,uah,0.37,0.15,1,1,2019-01-06 15:13:33,2019-01-06 15:13:33
369,6,"Килимок ACME Cloth Mouse Pad, blue",baden,4770070869239,ACME,,kilimok-acme-cloth-mouse-pad-blue,,,,uah,0.37,0.15,1,1,2019-01-06 15:13:33,2019-01-06 15:13:33
370,6,Килимок ACME Ergonomic mouse pad,baden,4770070869284,ACME,,kilimok-acme-ergonomic-mouse-pad,,,,uah,1.33,0.15,1,1,2019-01-06 15:13:33,2019-01-06 15:13:33
371,6,Килимок ACME Rubber based mouse pad for gaming,baden,4770070863114,ACME,,kilimok-acme-rubber-based-mouse-pad-for-gaming,,,,uah,0.91,0.15,1,1,2019-01-06 15:13:33,2019-01-06 15:13:33
372,6,Клавіатура дротова ACME KM04 Slim Full Size Multimedia Keyboard /EN/RU/LT /Black,baden,4770070862889,ACME,,klaviatura-drotova-acme-km04-slim-full-size-multimedia-keyboard-en-ru-lt-black,,,,uah,1.47,0.15,1,1,2019-01-06 15:13:33,2019-01-06 15:13:33
